# our label	ECI Model (epoch.ai/data/benchmark_data.zip, epoch_capabilities_index/eci_scores.csv, 2026-09-13, CC-BY)
# Variant rule: where ECI carries dated variants, the one the study's OpenRouter slug served at run time
# (census/suggestibility Sep 2026, format Jul 2026, conduct Jun 2026): deepseek-r1 = May 2025 (the slug
# serves R1-0528); gemini-2.5-flash = Jun 2025 GA (the Sep 2025 row is the separately named preview);
# gpt-4o = Aug 2024; deepseek-v4-flash/pro = the undated base rows (the 0731/0813 rows are later
# checkpoints; which one the slug served in Sep 2026 is unverified, scores differ by 6 to 8 points).
claude-3-haiku	Claude 3 Haiku
claude-3.5-haiku	Claude 3.5 Haiku
claude-haiku-4.5	Claude Haiku 4.5
claude-opus-4	Claude Opus 4
claude-opus-4.5	Claude Opus 4.5
claude-opus-4.8	Claude Opus 4.8
claude-opus-5	Claude Opus 5
claude-sonnet-4	Claude Sonnet 4
claude-sonnet-4.6	Claude Sonnet 4.6
claude-sonnet-5	Claude Sonnet 5
claude-fable-5	Claude Fable 5
claude-fable-5.1	Claude Fable 5.1
command-r-plus-08-2024	Command R+
deepseek-r1	DeepSeek-R1 (May 2025)
deepseek-chat-v3-0324	DeepSeek-V3 (Mar 2025)
deepseek-v3.2	DeepSeek-V3.2
deepseek-v4-flash	DeepSeek-V4-Flash
deepseek-v4-pro	DeepSeek-V4-Pro
gemini-2.5-flash	Gemini 2.5 Flash (Jun 2025)
gemini-2.5-pro	Gemini 2.5 Pro (Jun 2025)
gemini-3-flash-preview	Gemini 3 Flash
gemini-3.1-pro-preview	Gemini 3.1 Pro
gemini-3.1-flash-lite	Gemini 3.1 Flash-Lite
gemini-3.5-flash	Gemini 3.5 Flash
gemini-3.6-flash	Gemini 3.6 Flash
gemma-2-27b-it	Gemma 2 27B
gemma-3-27b-it	Gemma 3 27B
gemma-4-26b-a4b-it	Gemma 4 26B A4B
gemma-4-31b-it	Gemma 4 31B IT
glm-4.7	GLM-4.7
glm-5.3	GLM-5.3
glm-5.3-flash	GLM-5.3-Flash
gpt-3.5-turbo	GPT-3.5 Turbo (Jan 2024)
gpt-4-turbo	GPT-4 Turbo (Apr 2024)
gpt-4.1	GPT-4.1
gpt-4o	GPT-4o (Aug 2024)
gpt-4o-mini-2024-07-18	GPT-4o mini
gpt-5	GPT-5
gpt-5.4	GPT-5.4
gpt-5.4-mini	GPT-5.4 Mini
gpt-5.5	GPT-5.5
gpt-5.6-luna	GPT-5.6 Luna
gpt-5.6-sol	GPT-5.6 Sol
gpt-5.6-terra	GPT-5.6 Terra
gpt-6-astra	GPT-6 Astra
gpt-oss-120b	gpt-oss-120b
gpt-oss-20b	gpt-oss-20b
grok-4.20	Grok 4.20
grok-4.3	Grok 4.3 Beta
grok-4.5	Grok 4.5
grok-4.6	Grok 4.6
kimi-k2	Kimi K2 (Jul 2025)
kimi-k2.5	Kimi K2.5
kimi-k3	Kimi K3
llama-3-70b-instruct	Llama 3-70B
llama-3.3-70b-instruct	Llama 3.3 70B
llama-4-maverick	Llama 4 Maverick
llama-4-scout	Llama 4 Scout
minimax-m3	MiniMax-M3
mistral-nemo	Mistral NeMo
mistral-small-3.2-24b-instruct	Mistral Small 3.2
mixtral-8x22b-instruct	Mixtral 8x22B
qwen-2.5-72b-instruct	Qwen2.5-72B
qwen3-235b-a22b-2507	Qwen3-235B-A22B-Instruct (Jul 2025)
qwen3-235b-a22b-thinking-2507	Qwen3-235B-A22B-Thinking (Jul 2025)
qwen3.5-9b	Qwen3.5-9B
qwen3.6-35b-a3b	Qwen 3.6 35B-A3B
qwen3.7-plus	Qwen3.7-Plus
qwen3.8-2.4t-a95b	Qwen 3.8 Max
llama-3.1-70b-instruct	Llama 3.1-70B
# added 2026-09-25 (wave-3 models present in the same 2026-09-13 file; opus-5.5, gpt-6-sol/luna, grok-4.7, muse-spark-1.3 have no ECI row)
claude-opus-4.1	Claude Opus 4.1
claude-opus-4.6	Claude Opus 4.6
claude-opus-4.7	Claude Opus 4.7
claude-sonnet-4.5	Claude Sonnet 4.5
