# Release dates for panel models the ECI snapshot (studies/cross-instrument/eci_map_2026-09-13.tsv)
# does not cover. Looked up 2026-09-19; source recorded per row. Used only for ordering rows in
# the hold-or-fold grid and for the date control on the vendor tests.
# model	date	source
gpt-3.5-turbo-instruct	2023-09-19	OpenAI API announcement, 2023-09-19 (news.ycombinator.com/item?id=37558911)
command-a	2025-03-13	Cohere changelog, Announcing Command A (docs.cohere.com/changelog/command-a); HF c4ai-command-a-03-2025
hermes-3-llama-3.1-70b	2024-08-15	Nous Research Hermes 3 technical report, 2024-08 (arxiv.org/abs/2408.11857)
mythomax-l2-13b	2023-08-23	Hugging Face Gryphe/MythoMax-L2-13b; sources differ, 2023-08-10 also reported
mistral-large-2512	2025-12-01	Mistral Large 3 2512; sources differ, 2025-12-04 also reported
gemini-3.8-flash	2026-09-02	Google DeepMind model card; 9to5google 2026-09-02
llama-3.1-70b-instruct	2024-07-23	Meta Llama 3.1 release announcement, 2024-07-23 (ai.meta.com/blog/meta-llama-3-1)
claude-opus-5.5	2026-09-22	OpenRouter catalog created date (1790094732)
gpt-6-sol	2026-09-22	OpenRouter catalog created date (1790100775)
gpt-6-luna	2026-09-22	OpenRouter catalog created date (1790100786)
