model,category,answer,raw_reply,label,rationale
hermes-4-70b,dessert,lava,Lava.,contested,'Lava.' — bare lava is not a dessert; reads as lava cake by ellipsis [ADJUDICATE]
deepseek-r1,dinosaur,trex,Trex,contested,"'Trex' = T. rex, a valid dinosaur; spelling variant of the modal referent [ADJUDICATE]"
command-a,cheese,cheese,Cheese.,degenerate,answered the category name itself
gemma-3-27b-it,city,jones,jones,degenerate,'jones' is not a city; hallucinated token (recurs across categories)
hermes-4-70b,country,kroa,(kroa:ʃi.a),degenerate,IPA fragment '(kroa:ʃi.a)' for Croatia; extraction artifact
gemma-3-27b-it,hobby,jones,jones,degenerate,'jones' is not a hobby; same hallucinated token
gemma-3-27b-it,metal,jones,jones,degenerate,'jones' is not a metal; same hallucinated token
wizardlm-2-8x22b,metal,zinc,Copper ASSISTANT: Zinc,degenerate,template leak 'Copper ASSISTANT: Zinc'; answer ambiguous/contaminated
deepseek-v3.2,animal,beaver,Beaver,valid,unambiguous category member; novel only because no other model chose it
deepseek-v3.2,animal,cheetah,Cheetah,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,animal,crocodile,Crocodile,valid,unambiguous category member; novel only because no other model chose it
gemini-2.5-flash,animal,fox,Fox,valid,unambiguous category member; novel only because no other model chose it
claude-3-haiku,animal,koala,Koala.,valid,unambiguous category member; novel only because no other model chose it
mythomax-l2-13b,animal,llama,Llama,valid,unambiguous category member; novel only because no other model chose it
hermes-4-70b,animal,platypus,platypus,valid,unambiguous category member; novel only because no other model chose it
wizardlm-2-8x22b,any_word,antidisestablishmentarianism,Antidisestablishmentarianism.,valid,any real word satisfies the 'pick a word' category
grok-4.3,any_word,banana,Banana,valid,any real word satisfies the 'pick a word' category
sonar,any_word,bitnet,Bitnet,valid,any real word satisfies the 'pick a word' category
gemini-2.5-flash,any_word,bloom,Bloom,valid,any real word satisfies the 'pick a word' category
claude-3-haiku,any_word,blueberry,Blueberry.,valid,any real word satisfies the 'pick a word' category
gemini-2.5-flash,any_word,cat,Cat,valid,any real word satisfies the 'pick a word' category
deepseek-v3.2,any_word,choice,Choice.,valid,any real word satisfies the 'pick a word' category
llama-3.3-70b-instruct,any_word,computer,Computer,valid,any real word satisfies the 'pick a word' category
llama-3.3-70b-instruct,any_word,computer,Computer,valid,any real word satisfies the 'pick a word' category
wizardlm-2-8x22b,any_word,crossword,Crossword.,valid,any real word satisfies the 'pick a word' category
command-a,any_word,curiosity,Curiosity.,valid,any real word satisfies the 'pick a word' category
command-a,any_word,curiosity,Curiosity,valid,any real word satisfies the 'pick a word' category
mixtral-8x22b-instruct,any_word,diamond,Diamond,valid,any real word satisfies the 'pick a word' category
mythomax-l2-13b,any_word,dragon,Dragon,valid,any real word satisfies the 'pick a word' category
gpt-4o,any_word,eclipse,Eclipse.,valid,any real word satisfies the 'pick a word' category
gpt-3.5-turbo,any_word,effervescent,Effervescent,valid,any real word satisfies the 'pick a word' category
claude-3-haiku,any_word,elephant,Elephant.,valid,any real word satisfies the 'pick a word' category
deepseek-v3.2,any_word,eminence,Eminence,valid,any real word satisfies the 'pick a word' category
mythomax-l2-13b,any_word,enigma,Enigma,valid,any real word satisfies the 'pick a word' category
